event_id,matched_to_event_id,market,index_name,event_ticker,security_name,event_phase,event_type,inclusion,treatment_group,batch_id,announce_date,effective_date,event_date,sector,car_p0_p5,car_p0_p20,car_p0_p60,car_p0_p120,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
US-s-p500-fbhs-20160621-20160622-add-01,,US,S&P500,FBHS,Fortune Brands Home & Security,announce,addition,1,1,sp500-20160622,2016-06-21,2016-06-22,2016-06-21,,,,,,0.0,,,,
US-s-p500-fbhs-20160621-20160622-add-01,,US,S&P500,FBHS,Fortune Brands Home & Security,effective,addition,1,1,sp500-20160622,2016-06-21,2016-06-22,2016-06-22,,,,,,0.0,,,,
US-s-p500-fbhs-20221212-20221219-del-02,,US,S&P500,FBHS,Fortune Brands Home & Security,announce,deletion,0,1,sp500-20221219,2022-12-12,2022-12-19,2022-12-12,,,,,,0.0,,,,
US-s-p500-fbhs-20221212-20221219-del-02,,US,S&P500,FBHS,Fortune Brands Home & Security,effective,deletion,0,1,sp500-20221219,2022-12-12,2022-12-19,2022-12-19,,,,,,0.0,,,,
US-s-p500-fdo-20150706-20150708-del-01,,US,S&P500,FDO,Family Dollar,announce,deletion,0,1,sp500-20150708,2015-07-06,2015-07-08,2015-07-06,,,,,,0.0,,,,
US-s-p500-fdo-20150706-20150708-del-01,,US,S&P500,FDO,Family Dollar,effective,deletion,0,1,sp500-20150708,2015-07-06,2015-07-08,2015-07-08,,,,,,0.0,,,,
US-s-p500-fds-20211203-20211220-add-01,,US,S&P500,FDS,FactSet,announce,addition,1,1,sp500-20211220,2021-12-03,2021-12-20,2021-12-03,Financials,-0.0380450558115391,-0.03480489280992921,-0.0717069840497609,-0.0904667071458591,0.07053809179685411,23.564602536720418,0.00044375971862376917,0.06184622687509567,-0.002324253938394376
US-s-p500-fds-20211203-20211220-add-01,,US,S&P500,FDS,FactSet,effective,addition,1,1,sp500-20211220,2021-12-03,2021-12-20,2021-12-20,Financials,-0.005051554821396003,-0.07622890233305041,-0.05277133557806422,-0.07720287259064483,0.02665961896629243,23.570283150331676,-0.030557660211829284,-1.4183198681899754,-0.00312814848399102
US-s-p500-ffiv-20101209-20101217-add-01,,US,S&P500,FFIV,F5 Networks,announce,addition,1,1,sp500-20101217,2010-12-09,2010-12-17,2010-12-09,Information Technology,-0.03232424154158061,-0.02193705500428692,-0.2486798835172139,-0.2118474906711013,0.13909649771377963,22.76954193625949,0.01881887340089218,0.4237643725668505,0.016600320454267473
US-s-p500-ffiv-20101209-20101217-add-01,,US,S&P500,FFIV,F5 Networks,effective,addition,1,1,sp500-20101217,2010-12-09,2010-12-17,2010-12-17,Information Technology,-0.005425981763416501,0.017136437914049396,-0.20151693662764492,-0.20194613529024588,0.1657247616203985,22.746683023361253,0.012378104467316499,0.1871425851453754,-0.022242204924834134
US-s-p500-fhn-20130614-20130621-del-01,,US,S&P500,FHN,First Horizon,announce,deletion,0,1,sp500-20130621,2013-06-14,2013-06-21,2013-06-14,,-0.015638735614311196,0.06529896435033769,-0.025261368328985553,-0.09686802396929714,-0.0026787246542726573,22.395718357814594,0.018103176418285835,1.3879907853958091,-0.0032756307649169456
US-s-p500-fhn-20130614-20130621-del-01,,US,S&P500,FHN,First Horizon,effective,deletion,0,1,sp500-20130621,2013-06-14,2013-06-21,2013-06-21,,0.0301863870014488,0.0718095751551477,0.006470027248176054,-0.06862726571281003,-0.03506206616250951,22.352926188494358,0.011205057741901522,0.6661402709682633,0.0037696096232134636
US-s-p500-fico-20230303-20230320-add-01,,US,S&P500,FICO,Fair Isaac,announce,addition,1,1,sp500-20230320,2023-03-03,2023-03-20,2023-03-03,Information Technology,0.0423769524426865,-0.006625711683922105,0.09088969777101606,0.1247382952805214,0.0070897446935545005,23.492361725467543,0.0026028881033511135,0.3175210599034717,0.005376325885075817
US-s-p500-fico-20230303-20230320-add-01,,US,S&P500,FICO,Fair Isaac,effective,addition,1,1,sp500-20230320,2023-03-03,2023-03-20,2023-03-20,Information Technology,0.0359992260996535,0.005802286702177523,0.08990721010138708,0.19703358615735997,-0.04777549568880335,23.443814409146274,-0.04733148416021348,-1.7787113920639435,-0.004980264651184178
US-s-p500-fii-20121220-20130102-del-01,,US,S&P500,FII,Federated Investors,announce,deletion,0,1,sp500-20130102,2012-12-20,2013-01-02,2012-12-20,,,,,,0.0,,,,
US-s-p500-fii-20121220-20130102-del-01,,US,S&P500,FII,Federated Investors,effective,deletion,0,1,sp500-20130102,2012-12-20,2013-01-02,2013-01-02,,,,,,0.0,,,,
US-s-p500-fix-20251205-20251222-add-01,,US,S&P500,FIX,Comfort Systems USA,announce,addition,1,1,sp500-20251222,2025-12-05,2025-12-22,2025-12-05,Industrials,-0.0305385777883481,0.02788103874890256,0.05154852663717907,0.05154852663717907,0.0177062060463844,24.288495579281534,0.004037445048005314,0.32352159050930496,-0.001891424585712398
US-s-p500-fix-20251205-20251222-add-01,,US,S&P500,FIX,Comfort Systems USA,effective,addition,1,1,sp500-20251222,2025-12-05,2025-12-22,2025-12-22,Industrials,-0.0021562051891560003,0.10667576286939129,0.10667576286939129,0.10667576286939129,0.0736711642098411,24.222767843069533,-0.050217285996582865,-2.042178776512392,-0.03367882074972453
US-s-p500-fl-20160328-20160404-add-01,,US,S&P500,FL,Foot Locker,announce,addition,1,1,sp500-20160404,2016-03-28,2016-04-04,2016-03-28,,,,,,0.0,,,,
US-s-p500-fl-20160328-20160404-add-01,,US,S&P500,FL,Foot Locker,effective,addition,1,1,sp500-20160404,2016-03-28,2016-04-04,2016-04-04,,,,,,0.0,,,,
US-s-p500-fl-20190801-20190809-del-02,,US,S&P500,FL,Foot Locker,announce,deletion,0,1,sp500-20190809,2019-08-01,2019-08-09,2019-08-01,,,,,,0.0,,,,
US-s-p500-fl-20190801-20190809-del-02,,US,S&P500,FL,Foot Locker,effective,deletion,0,1,sp500-20190809,2019-08-01,2019-08-09,2019-08-09,,,,,,0.0,,,,
US-s-p500-flir-20210510-20210514-del-01,,US,S&P500,FLIR,FLIR Systems,announce,deletion,0,1,sp500-20210514,2021-05-10,2021-05-14,2021-05-10,,,,,,0.0,,,,
US-s-p500-flir-20210510-20210514-del-01,,US,S&P500,FLIR,FLIR Systems,effective,deletion,0,1,sp500-20210514,2021-05-10,2021-05-14,2021-05-14,,,,,,0.0,,,,
US-s-p500-flr-20190528-20190603-del-01,,US,S&P500,FLR,Fluor Corporation,announce,deletion,0,1,sp500-20190603,2019-05-28,2019-06-03,2019-05-28,,0.020149223877065206,0.06733097925373721,-0.4826429105977073,-0.43002663666192337,-0.2692500906369757,22.123466532152396,0.05043367875541816,1.6769081290874617,0.0037276382458683345
US-s-p500-flr-20190528-20190603-del-01,,US,S&P500,FLR,Fluor Corporation,effective,deletion,0,1,sp500-20190603,2019-05-28,2019-06-03,2019-06-03,,0.012492369479423707,0.11432798772986019,-0.5098279681595749,-0.46294329948181934,-0.06043419300856012,22.076946460220316,0.036258493383570664,1.0340902393115528,-0.0021245180046439143
US-s-p500-fls-20210312-20210322-del-01,,US,S&P500,FLS,Flowserve,announce,deletion,0,1,sp500-20210322,2021-03-12,2021-03-22,2021-03-12,,-0.011595176649276697,-0.06444460599261179,0.023829645238454808,-0.17372694018412954,0.05862538774678949,22.374959218869456,0.027717204466672724,1.1963335327306428,-0.013178667321122443
US-s-p500-fls-20210312-20210322-del-01,,US,S&P500,FLS,Flowserve,effective,deletion,0,1,sp500-20210322,2021-03-12,2021-03-22,2021-03-22,,-0.03788149964802209,-0.06972656291863878,-0.007846158478894694,-0.21302219644329706,0.02064203984186541,22.35616069026559,-0.03751747462032359,-1.645328666465451,0.013108612534752005
US-s-p500-flt-20180615-20180620-add-01,,US,S&P500,FLT,FleetCor Technologies,announce,addition,1,1,sp500-20180620,2018-06-15,2018-06-20,2018-06-15,,,,,,0.0,,,,
US-s-p500-flt-20180615-20180620-add-01,,US,S&P500,FLT,FleetCor Technologies,effective,addition,1,1,sp500-20180620,2018-06-15,2018-06-20,2018-06-20,,,,,,0.0,,,,
US-s-p500-fmc-20250307-20250324-del-01,,US,S&P500,FMC,FMC Corporation,announce,deletion,0,1,sp500-20250324,2025-03-07,2025-03-24,2025-03-07,,0.053335737612199896,0.01617825424081311,-0.009421066662557171,-0.08963432616291406,0.12082393045115047,22.339545016133624,0.0019388173570792575,0.0693760153388876,-0.017672328526637915
US-s-p500-fmc-20250307-20250324-del-01,,US,S&P500,FMC,FMC Corporation,effective,deletion,0,1,sp500-20250324,2025-03-07,2025-03-24,2025-03-24,,0.0400989678651529,0.03526349118212392,-0.01801087903689581,-0.19284841130522923,0.08522861734351661,22.370120959242364,-0.05993433265170571,-1.5624252165755017,-0.00415235602936149
US-s-p500-fosl-20120402-20120403-add-01,,US,S&P500,FOSL,Fossil,announce,addition,1,1,sp500-20120403,2012-04-02,2012-04-03,2012-04-02,,0.053228315907876994,0.017791268221735088,-0.447734039527966,-0.24551143576402423,0.04216674323773839,22.777418884511114,0.04207483526925955,1.4759442518224386,0.006600026860272862
US-s-p500-fosl-20120402-20120403-add-01,,US,S&P500,FOSL,Fossil,effective,addition,1,1,sp500-20120403,2012-04-02,2012-04-03,2012-04-03,,0.030996729991916903,0.038077349127547386,-0.4563870169451718,-0.26962876197096897,0.06452383206955759,22.791114691430355,0.04329882924654591,1.4910534688340729,0.007516423737173698
US-s-p500-fosl-20151228-20160105-del-02,,US,S&P500,FOSL,Fossil Group,announce,deletion,0,1,sp500-20160105,2015-12-28,2016-01-05,2015-12-28,,-0.0931745580510991,-0.0835460445050717,0.2200403544062924,-0.09262074073347504,-0.032972663301373384,21.520175576474283,0.02495330160108361,0.736889792217676,-0.0015382402494647333
US-s-p500-fosl-20151228-20160105-del-02,,US,S&P500,FOSL,Fossil Group,effective,deletion,0,1,sp500-20160105,2015-12-28,2016-01-05,2016-01-05,,-0.0727679546193056,0.044540320720572596,0.23354613322238565,-0.13861178228163976,-0.11737445914267541,21.429622314102243,-0.01054720494472361,-0.24671174598330303,0.0026954813705067845
