event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
US-s-p500-bms-20190603-20190607-add-02,US,BMS,2019-06-03,2019-06-07,,sp500-20190607,4,0.0568192734558504,0.0102184437227265,-0.033615771664234295,-0.007545165467942299,0.0
US-s-p500-br-20180608-20180618-add-01,US,BR,2018-06-08,2018-06-18,Industrials,sp500-20180618,10,0.016473581965266604,-0.0227853645346029,0.010500999447385598,0.0183366704549723,0.001347954272895003
US-s-p500-bro-20210903-20210920-add-01,US,BRO,2021-09-03,2021-09-20,Financials,sp500-20210920,17,0.0580619950370803,-0.0046605524273645,-0.0025606847510980992,0.0124640581911598,0.09413229849119122
US-s-p500-bwa-20111216-20111216-add-01,US,BWA,2011-12-16,2011-12-16,,sp500-20111216,0,-0.020286243358760295,0.0088470362897076,-0.0100218598403205,0.0088470362897076,0.1125944263708658
US-s-p500-bx-20230914-20230918-add-01,US,BX,2023-09-14,2023-09-18,Financials,sp500-20230918,4,0.1410314107115031,0.0135814288479386,0.0130845462074225,0.0348262017093036,-0.0783725335950048
US-s-p500-bxlt-20150619-20150701-add-01,US,BXLT,2015-06-19,2015-07-01,,sp500-20150701,12,0.0,0.0,0.0,0.0,0.0
US-s-p500-carr-20200331-20200403-add-01,US,CARR,2020-03-31,2020-04-03,Industrials,sp500-20200403,3,0.21931311452299534,0.07679191915931641,-0.1404370596651365,-0.009005581890037195,0.0063424231306127045
US-s-p500-cb-20100708-20100714-add-01,US,CB,2010-07-08,2010-07-14,Financials,sp500-20100714,6,0.0508108074430979,0.0259640687547939,-0.011280021925993401,-0.0165813685246008,-0.0354014416344429
US-s-p500-cbe-20111118-20111118-add-01,US,CBE,2011-11-18,2011-11-18,,sp500-20111118,0,,,,,
US-s-p500-cboe-20170223-20170301-add-01,US,CBOE,2017-02-23,2017-03-01,Financials,sp500-20170301,6,0.013320635008460298,-0.0112838678408075,-0.021023818295435204,-0.010721372409500201,0.0210189839276171
US-s-p500-cci-20120312-20120313-add-01,US,CCI,2012-03-12,2012-03-13,Real Estate,sp500-20120313,1,0.08576113964510179,-0.0171825000106742,-0.0273325814029088,-0.0537233594686745,0.045995301413788596
US-s-p500-cday-20210903-20210920-add-01,US,CDAY,2021-09-03,2021-09-20,,sp500-20210920,17,0.0,0.0,0.0,0.0,0.0
US-s-p500-cdns-20170824-20170918-add-01,US,CDNS,2017-08-24,2017-09-18,Information Technology,sp500-20170918,25,0.0185454027341879,0.0025501670595295995,0.015869980523342903,0.016519993274009003,0.0584663406572918
US-s-p500-cdw-20190917-20190923-add-01,US,CDW,2019-09-17,2019-09-23,Information Technology,sp500-20190923,6,-0.020253466509560218,0.076659188587117,-0.0007962099197866002,-0.012572526008080998,0.031577447021641496
US-s-p500-ce-20181224-20181224-add-01,US,CE,2018-12-24,2018-12-24,,sp500-20181224,0,-0.06450015223417632,-0.011896075849683703,0.0132137393093492,-0.011896075849683703,0.02042470733807299
US-s-p500-ceg-20220126-20220202-add-02,US,CEG,2022-01-26,2022-02-02,Utilities,sp500-20220202,7,0.040817344345516,0.0882998009326455,0.12672053090203578,0.121581637832785,-0.040594663840811875
US-s-p500-cern-20100429-20100429-add-01,US,CERN,2010-04-29,2010-04-29,,sp500-20100429,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-cfg-20160126-20160201-add-01,US,CFG,2016-01-26,2016-02-01,Financials,sp500-20160201,6,-0.19535095961601884,0.0353230912468948,-0.0534979869652521,-0.0729577818417418,-0.03019753594039261
US-s-p500-chd-20151222-20151229-add-01,US,CHD,2015-12-22,2015-12-29,Consumer Staples,sp500-20151229,7,0.014234366253304402,0.013412407984353199,-0.012337201203930101,-0.0046879118804379,0.033183824786605705
US-s-p500-chtr-20160831-20160908-add-01,US,CHTR,2016-08-31,2016-09-08,Communication Services,sp500-20160908,8,0.0770436401631957,0.0688617852719865,0.007884414316790902,-0.0115507047869173,0.0006953908057900061
US-s-p500-cmcsk-20150918-20150918-add-01,US,CMCSK,2015-09-18,2015-09-18,,sp500-20150918,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-cmg-20110427-20110427-add-01,US,CMG,2011-04-27,2011-04-27,Consumer Discretionary,sp500-20110427,0,0.0019958645530121083,-0.0443472837413022,0.0020285503727727,-0.0443472837413022,0.09839438585123969
US-s-p500-cnc-20160324-20160330-add-01,US,CNC,2016-03-24,2016-03-30,Health Care,sp500-20160330,6,0.041845799060065615,0.04006121221861039,-0.0270045468728783,-0.024246820340559,0.0480098857472371
US-s-p500-coin-20250512-20250519-add-01,US,COIN,2025-05-12,2025-05-19,Financials,sp500-20250519,7,0.0970006269865199,0.2055144445433062,0.015092761406915199,0.0669258823481052,-0.026527907690123087
US-s-p500-coo-20160910-20160922-add-01,US,COO,2016-09-10,2016-09-22,Health Care,sp500-20160922,12,0.0412022782630906,0.019801275497632997,-0.05611551560230689,-0.041070297233951496,0.0032377665555561
US-s-p500-coty-20160927-20160930-add-01,US,COTY,2016-09-27,2016-09-30,,sp500-20160930,3,-0.14218304283763972,0.0152296668260833,-0.0217449140363166,0.00408596806135,-0.018692322795718804
US-s-p500-cov-20110228-20110228-add-01,US,COV,2011-02-28,2011-02-28,,sp500-20110228,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-cpgx-20150623-20150702-add-01,US,CPGX,2015-06-23,2015-07-02,,sp500-20150702,9,0.0,0.0,0.0,0.0,0.0
US-s-p500-cprt-20180625-20180702-add-01,US,CPRT,2018-06-25,2018-07-02,Industrials,sp500-20180702,7,0.11952896544178329,-0.0461563018954071,0.0226163240349834,0.0246878151432596,-0.0353845381198281
US-s-p500-cpt-20220329-20220404-add-01,US,CPT,2022-03-29,2022-04-04,Real Estate,sp500-20220404,6,-0.023261274273317197,0.0218873734098471,0.019323228475065297,0.023775787560760597,-0.025947974650751895
US-s-p500-crh-20251205-20251222-add-01,US,CRH,2025-12-05,2025-12-22,Materials,sp500-20251222,17,0.0381719049955894,0.0440194238029497,-0.011213336722261701,-0.023951797875164597,-0.035940411845247995
US-s-p500-crl-20210510-20210514-add-01,US,CRL,2021-05-10,2021-05-14,Health Care,sp500-20210514,4,0.0882936845089817,-0.036732138208127305,0.0110241206616811,-0.005362947291453301,0.07603765253902141
US-s-p500-crwd-20240607-20240624-add-01,US,CRWD,2024-06-07,2024-06-24,Information Technology,sp500-20240624,17,0.06424895940392841,0.09203870064716041,0.002031613108512291,0.013012881247900898,-0.3597024445014333
US-s-p500-csgp-20220902-20220919-add-01,US,CSGP,2022-09-02,2022-09-19,Real Estate,sp500-20220919,17,0.005515700596313098,0.10462490107531369,-0.0150969911331579,-0.011448895115368802,0.0651769816539422
US-s-p500-csra-20151123-20151201-add-01,US,CSRA,2015-11-23,2015-12-01,,sp500-20151201,8,-0.007425276889344202,-0.019747886915647002,-0.05877157337314591,0.06007989691060299,-0.0181415235247715
US-s-p500-ctlt-20200904-20200921-add-01,US,CTLT,2020-09-04,2020-09-21,,sp500-20200921,17,0.0,0.0,0.0,0.0,0.0
US-s-p500-ctva-20190528-20190603-add-01,US,CTVA,2019-05-28,2019-06-03,Materials,sp500-20190603,6,0.0,-0.0020282255836377,-0.0221742268310198,-0.0306018055818906,0.01696424464992681
US-s-p500-cvc-20101209-20101217-add-01,US,CVC,2010-12-09,2010-12-17,,sp500-20101217,8,0.0,0.0,0.0,0.0,0.0
US-s-p500-cvna-20251205-20251222-add-01,US,CVNA,2025-12-05,2025-12-22,Consumer Discretionary,sp500-20251222,17,0.2572590895918029,0.1331081053471815,-0.04543203468652069,-0.081393982957134,0.051303403885808015
US-s-p500-cxo-20160216-20160222-add-01,US,CXO,2016-02-16,2016-02-22,,sp500-20160222,6,0.0,0.0,0.0,0.0,0.0
US-s-p500-czr-20210312-20210322-add-01,US,CZR,2021-03-12,2021-03-22,,sp500-20210322,10,0.2395649398735757,0.010557285482902898,-0.13135748380548862,-0.06629263984117961,0.012507930658633294
