market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
US,announce,1,"[-5,+5]",m5_p5,winsorized_1pct,257,0.013559966494579839,0.08148709516340727,0.005083025340057446,0.0035972368280672434,0.023522696161092434,2.6676960249870776,0.00812453910751361,0.005192527227418757,0.009016215322801219
US,announce,1,"[-3,+3]",m3_p3,winsorized_1pct,256,0.014655959389941487,0.07123478702018322,0.0044521741887614515,0.005929697979969043,0.02338222079991393,3.2918656747387107,0.001135942512741395,0.004646704411708068,0.0016101896154123952
US,announce,1,"[-1,+1]",m1_p1,winsorized_1pct,255,0.01863886357231767,0.0539164705667861,0.0033763803558498956,0.012021158074851875,0.025256569069783467,5.520368444279121,8.344214899317876e-08,0.0036199367157857478,2.6195238686059507e-07
US,effective,0,"[-5,+5]",m5_p5,winsorized_1pct,116,-0.005780571376669754,0.08397596314037051,0.007796972437047372,-0.021062637353282603,0.009501494599943094,-0.7413866630082372,0.4599703418600005,0.00851729103334463,0.4973364521430257
US,effective,0,"[-3,+3]",m3_p3,winsorized_1pct,116,0.00605376348598559,0.07432103534266261,0.0069005348958121795,-0.0074712849098062814,0.01957881188177746,0.8772890185164516,0.3821587253257938,0.007603602485641739,0.4259329802211792
US,effective,0,"[-1,+1]",m1_p1,winsorized_1pct,113,-0.004762030672018968,0.050529159306303556,0.0047533834621319,-0.014078662257797494,0.004554600913759557,-1.001819169430776,0.31859047251997147,0.005328099753496115,0.37145149665028465
US,effective,1,"[-5,+5]",m5_p5,winsorized_1pct,259,-0.00027234738343871674,0.07536185535355809,0.004682757842645668,-0.009450552755024226,0.008905857988146791,-0.05815961290128249,0.9536665101070093,0.005004535216834464,0.9566004529221582
US,effective,1,"[-3,+3]",m3_p3,winsorized_1pct,259,-0.0011761321649409713,0.06280512574584633,0.003902520628837248,-0.008825072597461977,0.0064728082675800346,-0.301377565117804,0.7633693603921352,0.004062194647141112,0.7721748936700011
US,effective,1,"[-1,+1]",m1_p1,winsorized_1pct,258,-0.0007481725413866124,0.04146814921429312,0.00258169420310922,-0.005808293179480684,0.004311948096707458,-0.2897990553976391,0.772203640872135,0.002728565221244007,0.7839309400264411
CN,announce,0,"[0,+5]",p0_p5,winsorized_1pct,137,-0.018454154160583956,0.039063149902866814,0.003337390125405201,-0.02499543880637815,-0.011912869514789762,-5.529516618421525,1.5868642095385774e-07,0.003450262952007007,8.862616541085424e-08
CN,announce,0,"[0,+20]",p0_p20,winsorized_1pct,137,-0.02627583737226265,0.09244982678299238,0.007898521746663764,-0.04175693999572363,-0.010794734748801674,-3.3266778537846315,0.00113041644523868,0.01663646176890077,0.11424144866718108
CN,announce,0,"[0,+60]",p0_p60,winsorized_1pct,137,-0.015812671532846562,0.1534136047672525,0.013107008803083475,-0.04150240878689017,0.009877065721197047,-1.206428695548489,0.22974666527619975,0.024529978699796114,0.5191693310595255
CN,announce,0,"[0,+120]",p0_p120,winsorized_1pct,137,0.017170891970803015,0.24389641287719604,0.020837476803128127,-0.023670562563328112,0.05801234650493414,0.8240389243396935,0.4113602471203004,0.05130701754044153,0.7378744399039321
CN,announce,1,"[0,+5]",p0_p5,winsorized_1pct,137,0.02715773722627736,0.06041766380363663,0.005161829373199372,0.017040551654806592,0.037274922797748127,5.261262095814807,5.429631090569034e-07,0.009757473783335325,0.005381309834847856
CN,announce,1,"[0,+20]",p0_p20,winsorized_1pct,137,0.01836030160583953,0.11043398329647845,0.009435011930151123,-0.00013232177725666996,0.036852924988935734,1.9459754520464554,0.05371984496191182,0.012067265363720615,0.12813529747790792
CN,announce,1,"[0,+60]",p0_p60,winsorized_1pct,137,0.022745813430657083,0.17326838429856153,0.014803317096568663,-0.006268688078617496,0.05176031493993166,1.5365349051348396,0.126730511965664,0.024718200957009533,0.3574656140672102
CN,announce,1,"[0,+120]",p0_p120,winsorized_1pct,137,0.00017282131386866243,0.23084172137760725,0.019722139237947765,-0.03848257159250896,0.038828214220246286,0.008762807714902116,0.993021221469812,0.029413116221867073,0.9953119328239254
CN,effective,0,"[0,+5]",p0_p5,winsorized_1pct,137,-0.002309625109488977,0.04749015368503194,0.0040573576466952895,-0.010262046097011743,0.00564279587803379,-0.5692436582143955,0.5701297516931261,0.007505850199600598,0.758303015426979
CN,effective,0,"[0,+20]",p0_p20,winsorized_1pct,137,-0.009518169927007197,0.09206245345384118,0.007865426209648207,-0.024934405297917683,0.005898065443903288,-1.2101276743695888,0.22832900075175291,0.02084825429726189,0.64799799267957
CN,effective,0,"[0,+60]",p0_p60,winsorized_1pct,137,0.030912240875912465,0.16249156197833667,0.01388259102905496,0.0037023624589647454,0.05812211929286018,2.2266910270003666,0.02761259308334888,0.02290852663248452,0.17721587744314138
CN,effective,0,"[0,+120]",p0_p120,winsorized_1pct,137,0.02415595270073,0.2433788891950004,0.020793261771034764,-0.01659884037049814,0.06491074577195814,1.1617202229608583,0.24738390654532144,0.056660057516335044,0.6698664956317172
CN,effective,1,"[0,+5]",p0_p5,winsorized_1pct,137,-0.0020839564963502904,0.05490881304827666,0.004691176490393317,-0.011278662417521191,0.0071107494248206105,-0.4442289691334055,0.6575831063755634,0.0068461168700687585,0.7608233323466824
CN,effective,1,"[0,+20]",p0_p20,winsorized_1pct,137,-0.011729154744525454,0.10586798534659035,0.00904491239879053,-0.029457183046154894,0.005998873557103986,-1.2967681971241485,0.19690679331275798,0.013374633219135732,0.3805028253783589
CN,effective,1,"[0,+60]",p0_p60,winsorized_1pct,137,-0.025932503649634935,0.1608648321214814,0.01374361011803088,-0.05286997948097546,0.0010049721817055879,-1.8868771324946767,0.061308400427878135,0.011810125185864523,0.02810728778556032
