event_id,status,selected_controls,sector_relaxed,sector_filter_mode
CN-csi300-001391-20250530-20250613-add-01,matched,3,True,penalized
CN-csi300-001965-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-002007-20250530-20250613-del-01,matched,3,True,penalized
CN-csi300-002010-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-002024-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-002028-20241129-20241213-add-01,matched,3,True,penalized
CN-csi300-002044-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-002064-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002064-20231124-20231208-del-02,matched,3,True,penalized
CN-csi300-002074-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-002081-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-002120-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-002129-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-002129-20251128-20251212-del-02,matched,3,True,penalized
CN-csi300-002153-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002157-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-002157-20220527-20220610-del-02,matched,3,True,penalized
CN-csi300-002180-20251128-20251212-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-002202-20240531-20240614-del-01,matched,3,True,penalized
CN-csi300-002271-20250530-20250613-del-01,matched,3,True,penalized
CN-csi300-002294-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-002371-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-002384-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002384-20251128-20251212-add-02,matched,3,True,penalized
CN-csi300-002410-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-002411-20200601-20200615-del-01,skipped_no_valid_match,0,True,penalized
CN-csi300-002414-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-002422-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-002456-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002459-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002463-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-002463-20211126-20211210-del-02,matched,3,True,penalized
CN-csi300-002463-20241129-20241213-add-03,matched,3,True,penalized
CN-csi300-002466-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002508-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002555-20250530-20250613-del-01,matched,3,True,penalized
CN-csi300-002558-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002568-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002600-20250530-20250613-add-01,matched,3,True,penalized
CN-csi300-002603-20231124-20231208-add-01,matched,3,True,penalized
CN-csi300-002603-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-002624-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-002625-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-002648-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-002673-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002709-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002739-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002756-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-002773-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002791-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-002812-20250530-20250613-del-01,matched,3,True,penalized
CN-csi300-002821-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-002841-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-002920-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-002939-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-002945-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-003816-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-300014-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-300017-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-300024-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-300070-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-300136-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-300142-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-300144-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-300207-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300207-20231124-20231208-del-02,matched,3,True,penalized
CN-csi300-300223-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300223-20241129-20241213-del-02,matched,3,True,penalized
